country,number,energy_normalized,circles_curves_normalized,axis_points_normalized,synchronous_limbs_normalized,external_body_spaces_normalized,shifting_relations_normalized,jumping_normalized,emotion_normalized,pose_nose_x,pose_nose_y,pose_nose_z,pose_left_eye_inner_x,pose_left_eye_inner_y,pose_left_eye_inner_z,pose_left_eye_x,pose_left_eye_y,pose_left_eye_z,pose_left_eye_outer_x,pose_left_eye_outer_y,pose_left_eye_outer_z,pose_right_eye_inner_x,pose_right_eye_inner_y,pose_right_eye_inner_z,pose_right_eye_x,pose_right_eye_y,pose_right_eye_z,pose_right_eye_outer_x,pose_right_eye_outer_y,pose_right_eye_outer_z,pose_left_ear_x,pose_left_ear_y,pose_left_ear_z,pose_right_ear_x,pose_right_ear_y,pose_right_ear_z,pose_mouth_left_x,pose_mouth_left_y,pose_mouth_left_z,pose_mouth_right_x,pose_mouth_right_y,pose_mouth_right_z,pose_left_shoulder_x,pose_left_shoulder_y,pose_left_shoulder_z,pose_right_shoulder_x,pose_right_shoulder_y,pose_right_shoulder_z,pose_left_elbow_x,pose_left_elbow_y,pose_left_elbow_z,pose_right_elbow_x,pose_right_elbow_y,pose_right_elbow_z,pose_left_wrist_x,pose_left_wrist_y,pose_left_wrist_z,pose_right_wrist_x,pose_right_wrist_y,pose_right_wrist_z,pose_left_pinky_x,pose_left_pinky_y,pose_left_pinky_z,pose_right_pinky_x,pose_right_pinky_y,pose_right_pinky_z,pose_left_index_x,pose_left_index_y,pose_left_index_z,pose_right_index_x,pose_right_index_y,pose_right_index_z,pose_left_thumb_x,pose_left_thumb_y,pose_left_thumb_z,pose_right_thumb_x,pose_right_thumb_y,pose_right_thumb_z,pose_left_hip_x,pose_left_hip_y,pose_left_hip_z,pose_right_hip_x,pose_right_hip_y,pose_right_hip_z,pose_left_knee_x,pose_left_knee_y,pose_left_knee_z,pose_right_knee_x,pose_right_knee_y,pose_right_knee_z,pose_left_ankle_x,pose_left_ankle_y,pose_left_ankle_z,pose_right_ankle_x,pose_right_ankle_y,pose_right_ankle_z,pose_left_heel_x,pose_left_heel_y,pose_left_heel_z,pose_right_heel_x,pose_right_heel_y,pose_right_heel_z,pose_left_foot_index_x,pose_left_foot_index_y,pose_left_foot_index_z,pose_right_foot_index_x,pose_right_foot_index_y,pose_right_foot_index_z
Brunei_Darussalam,01,10.90909,37.17949,51.35135,93.54839,20.28986,14.0625,3.77358,22.58065,0.2220341,-2.3304461,-0.7331404,0.2891531,-2.3707029,-0.7111166,0.2893825,-2.3793933,-0.669705,0.2823729,-2.377421,-0.6805289,0.2181546,-2.4266792,-0.7638847,0.2251416,-2.4196781,-0.8116184,0.2344348,-2.3744015,-0.736658,0.4558508,-2.25879,-0.4193679,0.0210635,-2.1617729,-0.4205639,0.3181435,-2.2466903,-0.5856026,0.1951517,-2.1523243,-0.6882291,0.6754884,-1.6893159,-0.1649264,-0.2526941,-2.0159742,0.0133197,0.8224494,-1.7645354,-0.5761706,-0.4465471,-1.7653635,-0.6208771,0.4517653,-2.2821404,-0.5770093,-0.0524141,-2.2318938,-0.9022959,0.2967412,-2.4362814,-0.5595154,0.1585831,-2.3786239,-1.0555617,0.2317029,-2.4789593,-0.5030345,0.282613,-2.5352213,-0.9827147,0.4271466,-2.2632936,-0.5572574,0.0064747,-2.3095856,-0.8914369,0.2787094,0.0165082,0.0936433,-0.2787094,-0.0165082,-0.0936433,0.2059287,1.4272566,-0.1398963,-0.0835136,1.2190538,-0.3149824,0.0086902,2.682702,0.2162736,-0.0963875,2.5658816,0.1753178,-0.0983452,2.7870878,0.2714114,-0.0925337,2.6712487,0.0779303,-0.0866193,3.0180157,0.1486889,-0.1244387,2.8002101,-0.1343036
Brunei_Darussalam,02,45.45455,76.92308,22.97297,19.35484,50.72464,65.625,26.41509,33.87097,-0.7637847,-2.3936707,-0.3531099,-0.6745121,-2.4446677,-0.4461722,-0.6689419,-2.4541087,-0.3980201,-0.6733,-2.44929,-0.4164164,-0.6584349,-2.5001553,-0.4093021,-0.6511302,-2.4930662,-0.4529126,-0.6347603,-2.4530115,-0.3763479,-0.3145948,-2.2902182,-0.5558027,-0.3627001,-2.1861836,-0.1233989,-0.5894205,-2.3048524,-0.3371625,-0.5984954,-2.1948775,-0.3213803,-0.1920681,-1.828598,-0.4493613,-0.2429045,-1.9366206,0.5434865,-0.6255241,-2.0260826,-0.6921812,-0.6535789,-1.5328865,0.5610894,-1.0070085,-2.2761826,-0.4447974,-1.2177679,-1.6066447,0.3615983,-1.0957484,-2.368268,-0.4098243,-1.2146174,-1.6696661,0.2415825,-1.0979026,-2.3675669,-0.4314396,-1.162292,-1.7880846,0.179316,-0.9757864,-2.2341797,-0.4540845,-1.2333277,-1.6714105,0.30424,0.0506959,0.0002422,-0.1874201,-0.0506959,-0.0002422,0.1874201,-0.2459235,1.4258862,-0.2633599,-0.3010544,1.1383725,0.0789169,-0.1447335,2.827593,0.002822,-0.3032138,2.6768697,0.419534,-0.2298089,2.9698518,0.0462253,-0.320846,2.8132574,0.3041184,-0.4213053,3.1617422,-0.0264201,-0.6430714,2.9138196,0.2115729
Brunei_Darussalam,03,36.36364,74.35897,37.83784,13.97849,43.47826,60.9375,7.54717,25.80645,0.7041037,-2.4858667,-0.0070581,0.6618949,-2.5541638,0.0228684,0.6673999,-2.562205,0.0637706,0.6689972,-2.5685079,0.0489329,0.6875878,-2.589547,-0.1393871,0.6987626,-2.5836064,-0.1896911,0.7158749,-2.526662,-0.1104751,0.3890916,-2.4850245,0.2528327,0.3025028,-2.2783709,-0.2028847,0.6547449,-2.4312687,0.1325757,0.629977,-2.2828487,-0.1108944,0.3052404,-1.8643563,0.7836091,0.4448751,-2.3862573,-0.0578905,0.8535533,-1.5462947,0.9115407,0.9014362,-2.6698274,-0.2587656,1.3075882,-1.0486079,1.0372553,0.7878658,-2.8898345,0.2181926,1.3578611,-1.0153361,1.1666792,0.8319927,-2.9904444,0.1118076,1.338776,-0.9690061,1.0527313,0.8498185,-3.0270304,0.1490538,1.3371815,-0.9494783,0.9877388,0.7605411,-2.9256798,0.2264859,-0.024328,0.0318182,0.4005957,0.024328,-0.0318182,-0.4005957,0.3489727,1.4764978,0.4810274,0.528036,1.2119421,-0.4053493,0.2239348,2.8854,0.711093,0.1304921,2.7356143,-0.0997569,0.1271778,3.0253363,0.762807,0.0938885,2.8722616,-0.2290861,0.3713577,3.1390885,0.8623977,0.3915571,2.9336997,-0.2630984
Brunei_Darussalam,04,61.81818,69.23077,50.0,23.65591,71.01449,81.25,5.66038,51.6129,0.845538,-1.6421029,-0.9057328,0.9226104,-1.6753875,-0.8475055,0.9244255,-1.6796073,-0.8184454,0.9190788,-1.686879,-0.8302912,0.858281,-1.7355489,-0.9275828,0.8696281,-1.7365316,-0.9727203,0.8735871,-1.6929872,-0.9071499,0.937765,-1.5861538,-0.4857344,0.5166322,-1.6063873,-0.6605394,0.8634987,-1.5738325,-0.7401385,0.7354041,-1.5276427,-0.870943,0.8611059,-0.9888077,-0.1695102,0.1919227,-1.7270838,-0.2540226,1.1712855,-0.5500039,-0.348463,-0.0303567,-2.0417553,-0.6186373,1.8257408,-0.1586266,-0.4561626,0.4925072,-2.1259796,-0.7796424,1.9612338,-0.1204743,-0.4325635,0.6991785,-2.1013972,-0.9283946,1.9840754,-0.1077994,-0.5443256,0.9059687,-2.1781223,-0.9155731,1.8700611,-0.0802966,-0.5109659,0.590266,-2.1340448,-0.7895103,0.2152915,0.0690593,0.0605788,-0.2152915,-0.0690593,-0.0605788,-0.0634807,1.310903,0.0369242,-0.376075,0.9980281,-0.0405593,-0.228482,2.3377167,0.4321402,-0.6764796,2.1481258,0.4059266,-0.3200866,2.4226849,0.4871356,-0.7094645,2.2369373,0.3243663,-0.3831334,2.4790811,0.3490297,-0.8371899,2.1863413,0.1398528
Brunei_Darussalam,05,52.72727,70.51282,45.94595,20.43011,63.76812,79.6875,5.66038,43.54839,-0.7860034,-2.2453709,-0.9075072,-0.7218163,-2.3410338,-0.9472163,-0.7158789,-2.3410241,-0.9044164,-0.7210074,-2.3352029,-0.9129692,-0.7658996,-2.3562669,-0.9319359,-0.7600505,-2.3507433,-0.9813764,-0.7427218,-2.3086745,-0.9033182,-0.2895509,-2.3201724,-0.8445695,-0.6234663,-2.0925273,-0.4831428,-0.5605877,-2.2048382,-0.8039797,-0.6400019,-2.0519647,-0.8202148,0.2251636,-1.9245728,-0.4461836,-0.6207009,-1.7969042,0.0717103,0.2435005,-2.6022205,-0.8192977,-1.1414996,-0.891741,-0.1053005,-0.4122508,-2.6934044,-0.4867088,-1.9907457,-0.6024523,-0.4643723,-0.5844756,-2.6761499,-0.4522064,-2.0700829,-0.6207555,-0.5898087,-0.6750733,-2.6319825,-0.4320566,-2.0334594,-0.7027872,-0.6603826,-0.4427662,-2.5960586,-0.4802894,-2.0210225,-0.6172223,-0.528419,0.2823029,0.043801,0.0726129,-0.2823029,-0.043801,-0.0726129,0.362934,1.6199888,-0.1493281,-0.2253887,1.2943231,-0.0915425,0.545309,2.9534472,0.2630563,-0.318105,2.7958427,0.3109862,0.4953458,3.0789612,0.3127654,-0.3096429,2.9183708,0.1935158,0.7135221,3.2212686,0.0701332,-0.1457967,3.0568625,-0.1617433
Brunei_Darussalam,06,25.45455,62.82051,52.7027,15.05376,34.78261,67.1875,3.77358,41.93548,0.1732112,-1.858433,-0.9972095,0.2211946,-1.9492199,-0.9855653,0.2292672,-1.9498129,-0.9423006,0.2276601,-1.9523053,-0.9555529,0.1583631,-2.0056055,-1.0573915,0.1665713,-1.9943559,-1.1061042,0.1867581,-1.9491571,-1.0281255,0.3455526,-2.0284943,-0.5932792,-0.0977236,-1.8936593,-0.7085327,0.2588716,-1.8686144,-0.7923662,0.1512922,-1.7419442,-0.9285504,0.5720823,-1.5803953,-0.0305975,-0.3925921,-1.8417422,-0.0637801,0.9500088,-0.8046362,0.0732958,-0.441609,-0.6794091,-0.2689631,1.0390204,-0.0558865,0.1731474,-0.4423892,-0.0744431,-0.4819294,1.0327674,0.0817394,0.1931486,-0.338163,0.0113256,-0.6389659,0.905593,0.0930591,0.1256232,-0.244182,-0.1275297,-0.6923339,1.0248192,0.0429465,0.151995,-0.39785,-0.0973393,-0.535816,0.2952614,0.0010594,0.2089932,-0.2952614,-0.0010594,-0.2089932,0.449787,1.4478031,-0.14353,0.1638314,1.2364447,-0.526907,0.2863391,2.7890562,0.1367431,0.0599726,2.7326275,-0.0246537,0.1760645,2.9302874,0.1787771,0.0472263,2.8615902,-0.1371658,0.1873496,3.1828784,-0.0121012,0.19174,2.9982027,-0.4026611
Brunei_Darussalam,07,43.63636,61.53846,43.24324,13.97849,43.47826,71.875,15.09434,45.16129,-0.4363999,-2.0856992,-0.7188866,-0.3208728,-2.158974,-0.7828121,-0.3117835,-2.158775,-0.736079,-0.3118239,-2.1576567,-0.7502749,-0.3323822,-2.2155438,-0.7397698,-0.3285454,-2.209078,-0.7841049,-0.3141868,-2.1663141,-0.7126936,0.0592075,-2.0780055,-0.7530202,-0.1488401,-2.0299506,-0.3677095,-0.2663053,-2.0310063,-0.6553171,-0.3219836,-1.939867,-0.6404144,0.1185798,-1.575028,-0.5826161,-0.1016727,-1.8293744,0.3590828,-0.296826,-0.9501452,-0.7724154,-0.5004253,-0.9336911,0.3327937,-0.8993669,-0.3505297,-0.5373274,-1.107476,-0.4586372,0.1519875,-1.0383307,-0.2433122,-0.5197309,-1.1510603,-0.3912402,0.0639142,-1.1485035,-0.2067743,-0.5254214,-1.1036759,-0.4514486,-0.0085582,-0.9412818,-0.2527347,-0.5299244,-1.1205597,-0.4637299,0.0823754,0.0913361,0.0122371,-0.1597677,-0.0913361,-0.0122371,0.1597677,-0.1886943,1.3731845,-0.1516871,-0.0132496,1.1380044,0.1643082,-0.0876769,2.5649328,0.1941436,0.0223044,2.4775044,0.534975,-0.1462684,2.6932182,0.2448944,0.0194726,2.5930026,0.4325769,-0.2594016,2.8626556,0.1694218,-0.1506243,2.7592692,0.3313231
Indonesia,01,40.0,24.35897,48.64865,30.10753,42.02899,53.125,0.0,67.74194,0.0784223,-1.5347082,-1.5886442,0.1142844,-1.6446922,-1.5266353,0.1256425,-1.6322076,-1.4997454,0.1158579,-1.6380187,-1.5139553,0.0449717,-1.6348638,-1.6179283,0.056708,-1.6402195,-1.6630469,0.0763246,-1.6074055,-1.5901029,0.1881934,-1.6113461,-1.1259462,-0.2509548,-1.4091777,-1.2956211,0.1547144,-1.5075223,-1.3974863,0.0559582,-1.3888308,-1.542377,0.4349772,-1.1992758,-0.6347676,-0.5633216,-1.2575796,-0.6343529,1.0086738,-0.8164832,-0.7368273,-1.0189477,-0.5274759,-0.7348693,1.5790396,-0.248205,-0.8034247,-0.8965633,0.091645,-0.9427837,1.7075884,-0.1345876,-0.8518402,-0.7619391,0.2392398,-1.1118262,1.6003052,-0.074226,-0.9517469,-0.5322581,0.12393,-1.1844828,1.5751491,-0.125565,-0.8655283,-0.7841181,0.1114145,-1.00361,0.2860012,-0.0545832,0.1241794,-0.2860012,0.0545832,-0.1241794,1.4700816,0.2617538,-0.483974,-0.8218345,0.5588149,-0.4892313,1.9220096,1.4330475,-0.0747327,-1.5136499,1.6644127,-0.1287304,1.9214647,1.5440957,-0.0094819,-1.6053394,1.7485421,-0.2103919,2.2525015,1.4842754,0.0033126,-1.8149474,1.7321905,-0.2582868
Indonesia,02,30.90909,16.66667,85.13514,93.54839,27.53623,20.3125,0.0,74.19355,-0.1081273,-1.3187285,-1.2315377,-0.0596445,-1.4148204,-1.213565,-0.055039,-1.4111545,-1.1816653,-0.0615614,-1.412229,-1.1929744,-0.161021,-1.4324887,-1.2410348,-0.1534877,-1.430364,-1.2871864,-0.1526459,-1.3972023,-1.2210461,0.2216695,-1.4798775,-0.8605342,-0.3825802,-1.331659,-0.8101907,0.0432782,-1.2976158,-1.0716078,-0.1278756,-1.2020054,-1.134876,0.5727334,-1.126612,-0.4602817,-0.4094384,-1.2337907,-0.3058427,0.8453664,-0.8291686,-0.8905153,-0.7540294,-0.7211574,-0.801448,0.2861202,-1.0564142,-1.0748642,-0.2891542,-1.0794261,-1.1816581,0.0889056,-1.157433,-1.0627084,-0.0365097,-1.1984893,-1.325565,0.0269337,-1.2655868,-0.9826867,0.1174902,-1.4135083,-1.2478713,0.2343536,-1.0650332,-1.0394024,-0.2139033,-1.1780244,-1.1722194,0.2743264,0.0468593,0.0552083,-0.2743264,-0.0468593,-0.0552083,-0.1662641,1.0293652,-0.0571133,-0.5942637,0.764746,-0.2216436,-0.3397748,1.528852,0.4900196,-1.062701,1.4642079,0.3056747,-0.4153791,1.5640543,0.559653,-1.1129765,1.5122278,0.2509088,-0.4548046,1.7161468,0.5581416,-1.2631098,1.5393429,0.1693542
Indonesia,03,52.72727,23.07692,32.43243,61.29032,50.72464,42.1875,0.0,77.41935,-0.0015717,-1.5750791,-1.4358943,0.0546123,-1.6520765,-1.40897,0.0637399,-1.6463384,-1.3836243,0.0565233,-1.6485264,-1.3915041,-0.0197854,-1.6852596,-1.4475246,-0.0162738,-1.6786709,-1.48155,0.0001295,-1.644815,-1.4149427,0.3055853,-1.6542158,-1.0408012,-0.1840748,-1.5216005,-1.0105222,0.1359243,-1.5546804,-1.2605475,0.0076394,-1.4608525,-1.3284222,0.5829378,-1.323228,-0.5037115,-0.3909673,-1.3938328,-0.2880178,1.2446796,-1.1675287,-0.3377238,-0.679216,-0.667955,-0.2206432,1.7157556,-0.7546031,-0.1474883,-0.3377186,-0.3586435,-0.4576092,1.7933963,-0.7134159,-0.1354593,-0.1169279,-0.3102871,-0.6052166,1.7064461,-0.6465018,-0.2073752,0.0549875,-0.4836158,-0.6336383,1.7234399,-0.6523392,-0.1725126,-0.2325821,-0.4021658,-0.4966185,0.2989287,0.0166357,0.0756741,-0.2989287,-0.0166357,-0.0756741,1.0040769,0.7971935,-0.4372134,-0.8779486,0.6960287,-0.2094381,1.0310749,1.847232,0.2117944,-1.5473209,1.8173456,0.0749939,0.9776794,1.9478865,0.2893243,-1.6285888,1.9091778,-0.0110381,1.2183955,1.9910299,0.2463608,-1.8602988,1.8641443,-0.1669565
Indonesia,04,43.63636,17.94872,77.02703,78.49462,26.08696,37.5,0.0,75.80645,0.0380793,-1.5131902,-0.9202275,0.0898858,-1.5828541,-0.8943245,0.1077811,-1.579697,-0.8685934,0.0963039,-1.5820781,-0.8746158,0.0266703,-1.6013873,-0.9527038,0.0374551,-1.6015142,-0.996012,0.0458409,-1.573958,-0.9241994,0.2761668,-1.5837282,-0.5061515,-0.2072399,-1.4970769,-0.5646765,0.1439308,-1.4905313,-0.7450951,0.009232,-1.3929339,-0.8581589,0.4884568,-1.1707719,0.0579121,-0.4831499,-1.3623718,-0.080904,0.561251,-0.6257438,-0.0839633,-0.6322147,-0.4763764,-0.4033403,0.5769396,-0.6971277,-0.3617051,-0.0314662,-0.941437,-0.6927814,0.5350802,-0.7582643,-0.4024825,0.266624,-1.0835016,-0.8457763,0.5408885,-0.8259104,-0.4108736,0.348779,-1.355148,-0.8333769,0.5742423,-0.6769586,-0.3836066,0.0385671,-1.0653744,-0.7010124,0.2861638,-0.0392162,0.212713,-0.2861638,0.0392162,-0.212713,1.4584708,0.7204934,-0.3019268,0.0460009,0.8065223,-0.5617137,1.6682677,2.0519557,0.0992441,-0.9336998,2.0203765,-0.24815,1.6245241,2.1760391,0.1589734,-1.0528249,2.1245004,-0.3283511,1.9368911,2.2818817,0.0995008,-1.0955658,2.2413127,-0.4877973
Indonesia,05,63.63636,64.10256,10.81081,12.90323,79.71014,81.25,0.0,82.25806,1.1967903,-3.4812204,-0.6660998,1.1480715,-3.5570764,-0.6450519,1.1614047,-3.5601476,-0.5810275,1.1564451,-3.5631619,-0.6124085,1.1471906,-3.627308,-0.8079151,1.1600627,-3.6029899,-0.880128,1.1641834,-3.5419684,-0.756304,1.112046,-3.3677846,-0.2809344,0.759156,-3.2107,-0.5913443,1.3036165,-3.3771216,-0.4554021,1.1601321,-3.1957704,-0.7152452,1.1367696,-2.4321222,0.5218662,0.9470687,-3.1675882,-0.1285978,0.9940465,-1.7878635,0.7735668,0.1490416,-2.5546082,-0.5832388,1.1915593,-1.3735667,1.1547757,0.3500641,-1.8786631,-0.7192341,1.1527844,-1.3995671,1.2322152,0.5322636,-1.7120899,-1.014763,1.1653996,-1.4628561,1.1316002,0.8838604,-1.794503,-0.9687694,1.2219996,-1.282923,1.1066068,0.4728039,-1.8780981,-0.7405933,0.0904169,0.1092239,0.3794852,-0.0904169,-0.1092239,-0.3794852,-0.8924997,2.0771282,-0.0182977,-0.6458623,1.6988939,-0.9333853,-1.2345186,3.9062359,-0.1174601,-1.2864073,3.6189772,-0.8496866,-1.3968446,4.0587113,-0.0915709,-1.3200394,3.7854654,-1.0661407,-1.3463926,4.269512,-0.1960981,-1.1529287,3.7793694,-1.2562803
Indonesia,06,58.18182,43.58974,18.91892,56.98925,71.01449,40.625,0.0,75.80645,0.0111738,-1.7463748,-0.9996981,0.0353923,-1.8101861,-0.9708342,0.0420963,-1.8095893,-0.9441946,0.0330392,-1.8107437,-0.9504679,-0.0175022,-1.8283235,-1.041499,-0.0127611,-1.8278711,-1.0781194,0.0063652,-1.7908963,-1.0128466,0.1884909,-1.7948012,-0.668521,-0.2248923,-1.6485372,-0.7149918,0.1241462,-1.7106686,-0.8437859,0.0226628,-1.6045826,-0.9471597,0.5247327,-1.3781142,-0.2197347,-0.4407194,-1.6078338,-0.0967257,1.2358199,-1.4972177,-0.3765403,-1.0588476,-1.206841,-0.1540465,1.1225254,-1.9306104,-0.4212373,-1.7277787,-0.8748662,-0.3181822,1.0377871,-2.094451,-0.4383024,-1.8023097,-0.8732126,-0.413703,0.8920393,-2.1672336,-0.4501288,-1.7448554,-0.903322,-0.4902907,1.0744063,-1.9301165,-0.4382758,-1.7445552,-0.8531271,-0.3755363,0.2956472,0.0182857,0.1306883,-0.2956472,-0.0182857,-0.1306883,1.3100084,0.6621142,-0.5128118,-0.9732333,0.499305,-0.5329465,1.0929986,1.9289979,-0.1744427,-0.8864642,1.7627315,0.0826956,1.0014786,2.032498,-0.1213,-0.8876375,1.8643057,0.017826,1.2494862,2.2027512,-0.2255498,-1.0363892,1.9894669,-0.0970318
Indonesia,07,61.81818,37.17949,16.21622,29.03226,72.46377,65.625,0.0,77.41935,0.1526644,-1.8197478,-0.0211057,0.0733951,-1.8352131,-0.1416925,0.0811806,-1.8386498,-0.0826698,0.0771527,-1.8432921,-0.1115025,0.1816829,-1.9197946,-0.2111128,0.186935,-1.8949509,-0.2767059,0.2194638,-1.8709619,-0.1709052,-0.0908563,-1.6201232,-0.2747198,0.2494391,-1.4479627,-0.3538031,0.1193551,-1.7374789,0.0064273,0.2269787,-1.5973295,-0.1665563,-0.4068329,-1.0722152,0.0267006,0.4992499,-1.492255,-0.0240979,-0.586927,-0.4920525,0.0082025,1.7629848,-0.8964419,-0.4580234,-0.4523378,-0.5556946,0.3044357,2.7036749,-1.2201878,-0.7056131,-0.5827994,-0.6516764,0.3505863,3.0673,-1.401152,-1.0053235,-0.5285925,-0.7440507,0.3576098,3.0412178,-1.7207533,-0.9738075,-0.3765868,-0.5571655,0.314158,2.7007308,-1.3755415,-0.7159706,-0.3179353,0.0293916,0.2353661,0.3179353,-0.0293916,-0.2353661,-0.619148,1.8070704,0.0658556,1.7162973,1.1240954,-0.7781609,-1.3879927,3.4938563,-0.051089,1.8125376,3.1150388,-0.2695642,-1.5996613,3.6735462,-0.0231353,1.7853555,3.2804059,-0.3946792,-1.862129,3.5601543,-0.0794609,1.8434168,3.0013112,-0.5243601
Indonesia,08,81.81818,25.64103,50.0,4.30108,56.52174,89.0625,83.01887,85.48387,-0.1875966,-1.8203504,-1.0780935,-0.1564586,-1.882204,-1.0539175,-0.1519879,-1.8843466,-1.0181894,-0.1568451,-1.8816952,-1.0279693,-0.2258937,-1.8932704,-1.075685,-0.2273878,-1.8917431,-1.1090879,-0.2140261,-1.8514998,-1.0494136,0.0496895,-1.8554584,-0.7315696,-0.4060318,-1.661987,-0.6739668,-0.0476993,-1.7889585,-0.9362884,-0.1740618,-1.6742287,-0.9917961,0.4142655,-1.4830075,-0.3803305,-0.518217,-1.4436895,-0.0212615,0.9801828,-1.1284641,-0.2255789,-0.728972,-0.6562479,-0.042069,0.6346935,-0.5575258,-0.1164717,-0.8118331,-0.3299381,-0.3863365,0.4878261,-0.4143196,-0.1157704,-0.7403608,-0.2678342,-0.53588,0.2988185,-0.4159351,-0.1549803,-0.6377539,-0.3706782,-0.5907213,0.5493716,-0.4730121,-0.1262717,-0.7749138,-0.3457456,-0.439606,0.2518234,-0.0114988,0.0020144,-0.2518234,0.0114988,-0.0020144,0.3016746,1.103841,-0.0164233,-0.0993207,0.8788248,0.1572951,0.3758469,1.9637088,0.6459786,-0.0768928,1.8120867,0.803103,0.3266983,2.0542279,0.7200138,-0.0718734,1.8913724,0.7565959,0.3247345,2.2507205,0.6326177,-0.1485922,2.0310952,0.6652754
Indonesia,09,49.09091,23.07692,2.7027,95.69892,86.95652,3.125,0.0,74.19355,-0.0803022,-1.5946454,0.1296837,-0.1038979,-1.6116452,0.0429898,-0.0964235,-1.6095536,0.075505,-0.0950673,-1.6208278,0.0629078,-0.0401023,-1.6667701,0.0125416,-0.0259496,-1.6599852,-0.0364607,-0.0061651,-1.6322914,0.0378567,-0.1424306,-1.5005698,-0.0795014,0.0707319,-1.3797825,-0.0326212,-0.0620345,-1.5510503,0.1321961,0.0055528,-1.4460796,0.0495154,-0.4092583,-0.9957171,0.1326228,0.4900036,-1.4328718,0.1176639,-0.4644461,-0.274899,0.0212676,1.2257426,-1.120977,-0.1312497,-0.3192412,0.2332259,0.1825994,1.8788791,-1.3428888,-0.1965581,-0.3753618,0.3007365,0.2373124,2.1557616,-1.4768932,-0.3723426,-0.3500181,0.3013819,0.2545351,2.1808142,-1.6523424,-0.3213693,-0.2778299,0.2997537,0.212612,1.8937922,-1.4364008,-0.190366,-0.2989688,0.0285653,0.1587738,0.2989688,-0.0285653,-0.1587738,-0.4637871,1.2529816,0.1342508,0.8829221,0.9359656,-0.3530039,-0.8507219,2.2702823,0.00759,0.7411665,2.2203414,-0.2639128,-0.9711567,2.3801758,0.0313225,0.7167538,2.3240094,-0.3768134,-1.0937477,2.1786993,0.0663662,0.8376403,2.0434606,-0.4183919
Indonesia,10,90.90909,38.46154,10.81081,13.97849,92.75362,87.5,88.67925,83.87097,0.7909386,-2.3417102,0.345746,0.6700646,-2.3842885,0.3648565,0.6804082,-2.3891306,0.4018334,0.6803352,-2.3925148,0.3820461,0.7431531,-2.4126007,0.2149591,0.7459753,-2.4054628,0.1665781,0.762464,-2.3536616,0.2501165,0.4446926,-2.2757957,0.5158988,0.4397509,-2.0412962,0.06706,0.7910616,-2.2703263,0.456026,0.762288,-2.1144789,0.2061466,0.3275541,-1.6431701,0.9779685,0.8466228,-2.0586772,0.231027,0.2488151,-1.1766642,1.2054373,1.572829,-2.1904833,0.1336207,0.4983676,-0.8393936,1.7126649,2.0440694,-2.6351612,0.5877182,0.4856193,-0.9805884,1.8615647,2.3017174,-2.8683764,0.374359,0.5280331,-0.9772816,1.7812094,2.4225903,-3.0158589,0.4932721,0.5347086,-0.7656884,1.6815043,2.0752038,-2.7490094,0.6190361,0.0115661,0.1149365,0.2074903,-0.0115661,-0.1149365,-0.2074903,-0.5370181,1.6897907,-0.0029204,-1.4094628,-0.2532755,-0.6978779,-0.4238243,3.211348,0.3355798,-2.4743236,1.0627216,-0.3391473,-0.5439772,3.3324052,0.4093526,-2.6121281,1.1699064,-0.4584896,-0.39244,3.2405653,0.4753289,-3.0005066,0.7946695,-0.4807357
Indonesia,11,70.90909,50.0,36.48649,20.43011,63.76812,71.875,52.83019,83.87097,0.4105292,-1.5992812,-1.1081331,0.4784114,-1.6563397,-1.0787175,0.4867162,-1.652635,-1.0473832,0.4815175,-1.6576301,-1.0512496,0.4020455,-1.7057214,-1.1250562,0.4077515,-1.700664,-1.1653749,0.408499,-1.6684902,-1.0942916,0.7105925,-1.5584638,-0.6871672,0.1483779,-1.549042,-0.6881968,0.5265575,-1.5149287,-0.932265,0.3635897,-1.4526669,-1.0191129,0.8411019,-0.9605727,-0.2523755,-0.0196687,-1.4084631,-0.0105733,0.8937399,-0.3265335,-0.490834,-0.1775871,-0.5966021,-0.2092388,0.9076844,-0.719827,-0.6950924,-0.1087346,-0.7662192,-0.7219681,0.8941272,-0.9152796,-0.6981405,0.0213772,-0.8500313,-0.8965476,0.9370705,-1.0280688,-0.697667,0.1229894,-1.0508813,-0.895111,0.9320709,-0.7462585,-0.6926775,-0.0710933,-0.857513,-0.7557727,0.2857415,0.1534133,0.0460156,-0.2857415,-0.1534133,-0.0460156,0.035712,1.1740058,-0.1865153,-0.758559,-0.3150828,-0.8360156,0.0029233,2.1358181,0.2955021,-0.947683,0.8124286,-0.4016228,-0.0837594,2.2080609,0.355867,-0.973295,0.8925856,-0.4719301,-0.0898517,2.3846305,0.2540463,-1.1759496,0.8834786,-0.5620707
